,DLSs01,DLSs02,DLSs03,DPSs202001,DPSs202002,DPSs202003,HLs202001,HLs202002,HLs202003,SLTs202001,SLTs202002,SLTs202003,SLs01,SLs02,SLs03,XSs202001,XSs202002,XsSs202003
otu14207,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
otu14208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14209,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu1421,3,1,6,5,2,0,8,1,1,0,3,1,10,3,3,8,0,4
otu14210,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14211,1,4,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0
otu14212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14213,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14214,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu14215,3,89,14,0,0,0,0,0,0,0,0,0,1,1,64,0,0,0
otu14216,6,1,2,0,0,0,0,1,1,0,0,0,1,2,11,0,2,0
otu14217,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14218,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu14219,16,230,92,3,4,3,4,0,0,1,7,7,3,17,13,17,5,12
otu1422,18,8,78,0,2,1,12,13,4,0,8,9,4,0,18,28,31,25
otu14220,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,30
otu14221,0,2,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
otu14222,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14223,15,172,96,19,16,24,20,2,0,6,16,9,5,1,9,63,50,36
otu14224,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14225,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0
otu14226,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
otu14227,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
otu14228,1,0,1,0,0,0,2,2,2,2,0,0,2,4,3,0,0,0
otu14229,0,0,0,0,0,0,3,0,2,0,0,0,2,0,6,0,1,1
otu1423,4,0,4,0,5,3,0,10,5,0,5,0,0,1,0,0,8,2
otu14230,8,39,18,5,4,5,4,6,0,2,6,2,0,6,1,18,5,14
otu14231,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
otu14232,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14233,0,3,0,1,0,0,4,0,0,0,0,0,1,0,1,0,1,1
otu14234,6,1,1,0,1,0,2,0,0,0,0,3,9,4,8,1,0,0
otu14235,1,52,25,5,3,2,1,3,6,4,1,2,4,5,1,7,9,11
otu14236,27,14,24,0,0,0,25,0,3,7,4,6,9,69,295,3,3,5
otu14237,0,0,8,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
otu14238,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
otu14239,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1424,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
otu14240,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14241,2,0,15,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0
otu14242,0,1,4,0,2,0,1,0,1,0,1,0,0,0,1,1,2,1
otu14243,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,3,1,3
otu14244,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu14245,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0
otu14246,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14247,1,0,11,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0
otu14248,0,0,2,0,0,0,2,0,0,0,1,0,0,1,1,0,2,0
otu14249,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu1425,14,2,3,1,0,0,4,0,0,2,5,25,25,9,75,4,7,6
otu14250,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0
otu14251,0,0,1,0,0,0,4,0,0,0,4,0,4,0,0,0,0,1
otu14252,4,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu14253,7,1,2,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0
otu14254,0,0,3,1,1,0,1,0,0,1,2,0,0,0,0,2,0,2
otu14255,0,0,12,0,0,0,2,7,1,0,2,0,0,0,0,0,0,0
otu14256,1,0,2,0,1,0,3,0,10,1,1,2,1,2,13,0,4,1
otu14258,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
otu14259,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
otu1426,43,0,0,0,0,0,0,0,0,0,3,3,1,9,0,2,5,2
otu14260,0,0,1,0,0,0,8,5,3,0,7,5,0,0,0,1,3,5
otu14261,0,0,27,1,0,0,0,0,10,1,0,0,0,0,2,0,0,5
otu14262,2,1,3,0,0,0,0,0,3,1,0,0,0,1,1,0,0,1
otu14263,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
otu14264,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14265,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otu14266,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
otu14267,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu14268,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14269,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0
otu1427,40,1,19,0,1,4,16,60,5,1,146,29,3,27,41,21,10,24
otu14270,0,0,1,0,0,1,0,1,0,0,0,0,14,0,1,0,0,1
otu14271,0,0,1,0,0,0,0,0,0,0,0,0,17,1,1,0,0,0
otu14272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14273,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
otu14274,0,0,1,0,1,0,0,1,0,0,0,0,12,0,0,0,0,0
otu14275,2,0,6,0,0,0,0,0,0,0,2,0,5,0,2,0,0,0
otu14276,0,0,8,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0
otu14277,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14278,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,6
otu14279,0,0,8,1,0,0,2,1,0,0,1,0,0,0,0,0,0,2
otu1428,21,0,79,0,0,0,70,4,1,8,27,54,19,53,93,21,17,21
otu14280,0,2,1,0,0,0,0,0,1,0,0,0,0,2,6,0,0,0
otu14281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14282,1,0,2,0,0,0,0,0,0,0,2,1,2,2,1,0,1,0
otu14283,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,5,1,3
otu14284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu14286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu14288,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
otu14289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu1429,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
otu14291,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu14292,1,0,1,2,7,3,8,7,9,16,5,4,1,1,1,2,6,4
otu14293,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
otu14295,1,0,1,6,3,3,42,9,10,29,99,49,3,0,3,15,27,28
otu14297,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
otu143,1868,71,10844,4,67,222,0,0,0,8,0,0,7,1,6,0,0,0
otu14300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14303,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
otu14304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu14306,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
otu14308,0,0,0,2,10,1,2,2,1,5,0,0,2,0,1,0,3,7
otu1431,8,0,16,6,11,2,25,1,0,8,26,21,12,10,55,44,34,17
otu14310,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu14314,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu14318,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu14320,1,0,0,4,11,16,5,0,0,11,5,1,0,0,0,0,0,0
otu14321,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
otu14322,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
otu1433,12,0,9,2,0,0,6,0,6,3,4,0,6,3,3,2,0,2
otu14330,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,1,0
otu14332,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu14337,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
otu14338,0,0,1,0,0,0,1,0,0,0,0,0,2,1,3,1,0,0
otu1434,0,0,0,0,6,4,43,34,9,23,75,79,1,0,0,20,23,29
otu14341,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
otu14346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14347,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
otu14348,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
otu1435,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0
otu14350,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
otu14352,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0
otu14353,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
otu14354,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
otu14356,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0
otu1436,5,5,2,3,4,7,2,0,7,8,8,3,4,3,4,6,7,2
otu14360,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0
otu14362,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,1,0,0
otu14366,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,6,1
otu14368,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
otu14370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14374,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
otu14376,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1438,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0
otu14381,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
otu14383,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14386,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14387,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
otu14389,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1439,116,0,14,0,0,1,5,8,1,0,41,5,3,42,50,4,1,13
otu14390,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
otu14393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14394,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1
otu14396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14397,5,0,3,2,7,2,0,1,0,1,0,1,2,0,0,8,3,1
otu144,0,0,0,11,0,0,0,0,0,1,0,2,4,0,0,4,3,0
otu14403,1,0,0,0,0,0,4,7,24,0,2,0,3,1,1,0,1,0
otu14404,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
otu14405,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
otu14406,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
otu14407,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1441,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14410,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
otu14414,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
otu14415,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14417,4,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0
otu14419,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
otu14422,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
otu14423,5,1,8,0,2,0,5,0,0,1,0,6,2,7,8,0,0,0
otu14425,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
otu14426,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
otu14427,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
otu14428,0,0,1,0,4,3,6,2,8,4,1,0,0,1,0,0,1,1
otu14429,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
otu1443,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
otu14430,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,1
otu14431,0,0,0,0,11,0,0,26,32,1,6,1,0,0,0,1,16,1
otu14432,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
otu14433,0,0,0,0,4,0,0,0,3,2,2,2,0,0,0,0,0,0
otu14434,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
otu14435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
otu14436,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0
otu14437,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
otu14438,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
otu14439,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1444,0,0,0,37,42,195,0,37,0,42,0,0,0,0,0,0,2,25
otu14440,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu14442,0,0,0,1,3,2,5,0,4,11,2,1,0,0,0,0,2,0
otu14443,0,0,0,1,3,3,0,8,0,0,0,0,0,0,0,2,5,7
otu14444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu14446,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14447,0,0,0,3,8,3,4,8,3,6,2,0,0,0,1,1,4,9
otu14448,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
otu14449,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
otu1445,75,0,12,4,17,11,12,16,0,12,10,13,13,35,21,3,16,5
otu14450,0,0,0,1,2,0,3,0,0,3,4,4,1,0,0,0,2,2
otu14451,0,0,0,3,6,28,0,6,0,5,0,0,0,0,0,0,0,6
otu14452,0,0,0,0,0,0,3,0,0,7,6,3,0,0,0,1,7,0
otu14453,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
otu14454,0,0,0,0,0,1,3,0,0,0,4,1,0,0,0,2,4,4
otu14455,0,0,0,49,2,1,1,0,0,0,0,1,0,0,0,2,0,0
otu14456,0,0,0,2,3,0,0,0,0,4,1,3,0,0,0,0,0,0
otu14457,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0
otu14458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
otu14459,0,0,0,1,16,3,0,1,0,3,0,0,0,1,0,0,3,0
otu1446,334,3,49,0,0,0,5,0,17,0,1,0,1,1,0,0,0,0
otu14460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
otu14461,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,2,1,1
otu14462,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
otu14463,0,0,0,0,0,1,0,0,0,0,5,2,0,0,0,1,0,2
otu14464,0,0,8,1,0,1,1,0,0,0,4,0,1,0,0,11,2,5
otu14465,1,0,1,0,4,1,15,4,10,15,69,34,6,0,5,8,13,8
otu14467,0,0,0,1,1,7,0,1,0,1,0,0,1,0,0,0,1,0
otu14468,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
otu14469,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,1,2,0
otu1447,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14470,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14471,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu14472,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
otu14473,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,1
otu14474,0,1,6,0,0,0,1,0,0,0,1,5,4,1,0,1,1,2
otu14475,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0
otu14476,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,2,0,0
otu14477,0,0,0,0,0,0,2,0,0,1,4,6,0,0,1,0,2,2
otu14478,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2
otu14479,0,0,0,0,2,0,4,0,1,1,0,1,3,0,2,2,0,0
otu1448,0,0,0,19,1,0,0,0,0,0,22,14,0,0,1,18,1,0
otu14480,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14481,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,2
otu14482,0,0,0,0,1,0,1,0,0,1,11,2,0,0,0,1,0,0
otu14483,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
otu14484,0,0,0,0,1,0,3,4,1,4,8,14,0,0,0,1,5,4
otu14485,0,0,0,0,0,0,3,1,0,0,2,4,0,0,0,1,1,0
otu14486,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0
otu14487,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,3
otu14488,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
otu14489,0,0,0,0,1,0,2,0,0,0,2,9,0,0,0,0,5,2
otu1449,0,0,0,5,0,0,1,88,48,0,20,9,0,0,0,16,0,0
otu14490,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
otu14491,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
otu14492,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
otu14493,0,0,0,4,2,0,0,1,0,1,0,0,0,0,0,2,2,2
otu14494,0,0,0,4,6,9,0,2,0,3,0,0,0,0,0,0,0,0
otu14495,0,1,0,8,5,2,2,2,2,4,1,1,0,0,0,22,5,1
otu14496,0,0,0,0,0,1,1,4,1,0,0,2,0,0,0,0,0,1
otu14498,1,0,2,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0
otu14499,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
otu145,20,0,21,11,7,8,36,22,20,17,86,47,60,90,222,33,26,19
otu1450,4,22,1,6,0,2,9,2,2,0,28,5,5,8,7,79,13,40
otu14500,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
otu14501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14502,4,0,5,0,0,0,1,2,0,0,3,1,1,3,2,1,1,0
otu14503,2,0,4,0,0,1,0,0,0,0,0,0,30,0,2,1,0,1
otu14504,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
otu14505,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,1,3
otu14506,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14507,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
otu14508,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,1
otu1451,140,61,75,4,0,0,8,4,1,0,5,17,27,75,19,59,5,7
otu14510,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0
otu14512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu14518,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14519,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1452,0,0,0,1,5,6,1,12,0,0,0,0,0,0,0,3,24,11
otu14520,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2
otu14521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu14523,0,1,0,0,0,2,1,3,0,3,0,0,1,0,2,2,0,0
otu14524,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu14525,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
otu14529,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
otu1453,1,0,0,0,0,0,0,0,0,0,0,0,5,2,15,0,0,0
otu14530,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
otu14531,0,0,0,0,0,0,0,6,1,0,0,0,0,0,4,0,1,0
otu14535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu14539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu1454,13,1,13,0,0,5,0,0,0,0,0,1,1,11,197,7,1,1
otu14540,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0
otu14543,1,0,0,9,3,4,0,0,0,5,0,0,0,3,0,3,0,1
otu14544,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
otu14545,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14546,34,1,9,73,21,42,21,1,1,21,8,16,4,8,12,81,20,35
otu14547,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
otu14548,0,0,0,12,1,3,0,0,0,0,0,0,0,0,0,2,0,0
otu14549,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu1455,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
otu14550,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0
otu14551,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0
otu14552,0,0,0,2,0,0,2,0,0,0,0,0,3,0,2,0,0,0
otu14553,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14554,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,2,1
otu14555,1,2,1,4,3,2,0,1,0,5,1,2,0,0,1,19,2,8
otu14556,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,2,1,1
otu14557,0,0,0,9,3,2,19,6,9,19,33,7,5,1,0,10,12,5
otu14558,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0
otu14559,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
otu1456,0,0,3,0,0,0,5,0,0,2,3,4,5,0,5,1,5,3
otu14560,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0
otu14561,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
otu14562,0,0,1,0,5,1,1,0,0,1,2,0,0,0,0,3,3,0
otu14563,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
otu14564,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1
otu14565,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,3,1,3
otu14566,0,0,0,0,2,0,2,0,1,0,3,0,0,0,0,1,3,1
otu14567,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,4,2
otu14568,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
otu14569,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0
otu1457,1,0,10,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0
otu14570,0,0,0,41,88,47,0,5,0,25,0,0,0,0,1,14,35,13
otu14571,0,0,0,0,4,7,8,0,0,6,2,0,1,0,0,7,8,5
otu14572,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,1,0
otu14573,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,4,1
otu14574,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1
otu14575,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,3
otu14576,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
otu14577,6,0,3,0,0,2,0,0,2,4,1,0,3,0,0,0,1,2
otu14578,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
otu14579,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
otu1458,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0
otu14580,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
otu14581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu14582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
otu14583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu14584,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0
otu14585,0,0,0,0,4,2,0,0,0,1,6,0,1,0,0,3,2,2
otu14587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
otu14588,0,0,0,0,1,0,2,0,0,1,3,0,0,0,0,7,3,2
otu14589,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
otu1459,0,1,3,2,3,1,17,5,4,3,12,7,5,6,4,5,3,9
otu14590,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0
otu14591,0,0,0,3,6,8,0,0,0,1,0,2,0,0,0,0,2,3
otu14592,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
otu14593,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,2,0
otu14594,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0
otu14595,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
otu146,9,59,11,4,9,5,153,76,80,57,28,23,164,113,14,48,32,40
otu1460,1,0,1,0,0,0,6,11,2,1,1,1,2,1,7,4,0,2
otu14601,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otu14606,0,0,0,0,1,1,4,4,8,0,25,9,3,1,1,2,5,4
otu14607,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
otu14609,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
otu1461,8,13,2,2,33,13,5,2,7,2,0,0,10,1,1,2,0,0
otu14613,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
otu14614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otu14615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
